date,time,speaker_name,speaker_party,speaker_constituency,gid,full_text
2024-12-18,12:38:00,Stephen Doughty,Labour/Co-operative,Cardiff South and Penarth,2024-12-18b.313.2,"I thank the right hon. Lady for her question. We welcome yesterday&#8217;s reiteration by Prime Minister Ramgoolam of his willingness to conclude a deal with the UK. We are confident that the agreement is in both sides&#8217; shared interests, and we will continue working with the new Mauritian Government to finalise the deal. Prime Minister Ramgoolam&#8217;s comments follow his commitment to completing the negotiations, following his election, in an exchange of letters with the Prime Minister.As part of the usual Government-to-Government engagement, the Prime Minister&#8217;s BIOT envoy, Jonathan Powell, met PM Ramgoolam in late November to start the process, and that was followed last week by a visit to Mauritius by the UK&#8217;s chief negotiator Harriet Mathews and other officials for the talks. Those talks were productive, and it is completely understandable that the new Mauritian Government will want time to study the details.It would not be appropriate or usual for me to give a running commentary on what was discussed during routine and private engagements, nor on any potential future engagements. I am confident, however, that we have agreed a good and fair deal that is in both sides&#8217; interests. It protects the base at proportionate cost; it has been supported across the national security architecture in the United States and by India for those very reasons. As I have said a number of times in this House, the treaty will contain clear commitments on robust security arrangements, including preventing the presence of foreign security forces on the outer islands and ensuring the base can continue to operate securely and effectively.The agreement is subject to finalising a treaty. Following signature, the Government will bring forward a Bill to enable implementation of that treaty. Both Houses of Parliament will have the opportunity to scrutinise that treaty before ratification."
2024-12-18,17:42:00,Richard Fuller,Conservative,North Bedfordshire,2024-12-18b.405.2,"On behalf of the official Opposition, I thank the Government for bringing forward the Bill and concluding its stages in this House before we break  for Christmas. I also thank the Chief Secretary to the Treasury, the right hon. Member for Bristol North West (Darren Jones), for the way he has handled the discussions on the Bill at each stage, providing Members with all the information they need at any stage and in answer to all questions. He has done an exemplary job.I note the uniformity of support across this House from Members, whichever party they represent. However, it goes deeper than that: since former Prime Minister Boris Johnson galvanised the west into defence of Ukraine, through former Prime Minister Liz Truss, to my right hon. Friend the Member for Richmond and Northallerton (Rishi Sunak), and now, with our current Prime Minister, the right hon. and learned Member for Holborn and St Pancras (Keir Starmer), the United Kingdom Government have been determined in support of the people of Ukraine. It says something of the depth of support in this country for the people of Ukraine that if we swept away a large proportion of the Members of this House and replaced them with different representatives from across the country, the resolve in support for Ukraine would remain the same.We must not give up our efforts. Since we started our debates, there have been further actions in Ukraine. I will quote the latest summary from the Institute for the Study of War, which demonstrates the urgent need for the support set out in the Bill that we are passing today:&#8220;on December 14&#8230;Russian forces fielded more than 100 pieces of equipment in a recent assault in the Siversk direction and noted that there were 55 combat engagements in this direction on December 13&#8212;a significant increase in tempo in this area of the frontline.&#8221;It goes on:&#8220;The GUR reported that a contingent consisting of Russian and North Korean servicemen in Kursk Oblast lost 200 personnel as of December 14 and that Ukrainian drones swarmed a North Korean position, which is consistent with recent reports of North Korean forces engaging in attritional infantry assaults.&#8221;Our support, the military support the United Kingdom provides under this measure, is desperately needed, but the need goes further. Since Russia&#8217;s invasion of Ukraine, an estimated 8 million Ukrainian citizens have been displaced and 6 million people have left the country as refugees, with many still unable to return. As hon. Members have said, over 200,000 Ukrainian citizens are living in the United Kingdom. Our thoughts and prayers are with them and their families. We should also note the work of British charities and non-governmental organisations, including the British Red Cross, which estimates that, with other Red Cross and Red Crescent societies around the world, assistance has been provided to over 18 million people in Ukraine.As we take our break, many of us will be celebrating Christmas. I hope that the Christian message of peace and hope will resonate in the new year, and that all of us in western Europe and particularly in Ukraine can look forward to a peaceful future."
2024-12-05,17:04:00,Hamish Falconer,Labour,Lincoln,2024-12-05c.564.0,"I acknowledge Alaa&#8217;s family, who are in the Public Gallery. I am grateful to my right hon. Friend the Member for Hayes and Harlington (John McDonnell) for securing this debate, and I pay tribute to him for his  tireless support for Mr el-Fattah and his family. I am also grateful to all right hon. and hon. Members for their contributions in this and the earlier debate.I re-emphasise, both to Alaa&#8217;s family and to the House, that his release remains a priority for the UK Government. I recognise the profound impact that his imprisonment has had on him and his family. The Government, and I as the Minister responsible, are doing all we can to find a resolution. Our priority remains to reunite him with his family, and until that happens, we are working to ensure that he is allowed consular access and support. As I said earlier, supporting British nationals overseas is at the heart of our work at the Foreign Office. That includes dual nationals and more recent British nationals such as Alaa.I have met Mr el-Fattah&#8217;s family on a number of occasions, including his incredibly impressive mother, Laila, who was in the Chamber last week and whom I also saw in Cairo. I share my the concern of my right hon. Friend the Member for Hayes and Harlington about her wellbeing, as she is deep into a hunger strike. As he rightly said, the health implications of that are obviously serious. I am sure that the whole House shares the Government&#8217;s concern about her welfare. We will continue to be in regular contact with Mr el-Fattah&#8217;s family to discuss his case. The Foreign Secretary recently met the family, including Laila, last week. I met her last month during my visit to Cairo and when she was in the House more recently.Our consular officials and our ambassador in Cairo work around the clock on this case. At the same time, we know from listening to the family that they feel that more support is required. That feeling is shared in other cases, and as I said to the House earlier, that is why we are looking to strengthen our approach through the appointment of a special envoy to work with families on the most complex detention cases, of which Mr el-Fattah&#8217;s case is clearly one.Let me turn to the question of Mr el-Fattah&#8217;s nationality, which is contested. The UK has consistently and unambiguously maintained that he is a British national, and that remains the position of the new Labour Government. He became a British citizen in December 2021, while he was in detention but shortly before being sentenced. I stress that the timing of his citizenship, in the same month as his sentencing, was in no way connected to the UK Government&#8217;s position on his case. As the Foreign Secretary said in the House last week, there is no conspiracy behind this. We have always been clear with Egypt that Mr el-Fattah was granted nationality in the normal way. He is a British national, and is therefore entitled to consular access under the Vienna convention. We disagree with the Egyptian view that he is an Egyptian mono-national and that the process for conferring nationality was in any way irregular. We continue to urge the Egyptians to grant us consular access under the Vienna convention on consular relations, as they have done in other cases of detained dual nationals.In response to my right hon. Friend&#8217;s comments, let me say a little about how we have been engaging with Egypt. Across all our engagements, we have been clear that this case will be resolved only by Mr el-Fattah&#8217;s release. That was the message that I delivered when I saw Foreign Minister Abdelatty and the Egyptian ambassador on what was the first visit by a Minister of  the new Government to Egypt. The Foreign Secretary has also raised this case directly with the Foreign Minister, as has the Minister for Development, my right hon. Friend the Member for Oxford East (Anneliese Dodds), just this week. I can also confirm to my right hon. Friend the Member for Hayes and Harlington that the Prime Minister did discuss the case with President Sisi in August. I would like to reassure Alaa&#8217;s family and this House that we will continue to press the Egyptians until Mr el-Fattah is free and reunited with his family.I am aware, of course, of the understandable frustration that Members feel at Alaa&#8217;s situation, and the desire that the UK Government roll back our relationship with Egypt or drop all economic support. However, our partnership with Egypt is crucial to alleviating suffering in the region and for our push for wider peace and security in the region. While I was in Egypt, I announced further assistance for the Egyptian healthcare system in order to support Palestinians who have crossed from Gaza and are in need of urgent medical care. I also signed a memorandum of understanding aimed at boosting the Egyptians&#8217; efforts on food security.I know that my right hon. Friend and many other Members of the House are aware of the catastrophic humanitarian situation in Gaza, the humanitarian crisis in Sudan and the many pressures on Egypt, where poverty is also very high. As such, while Mr el-Fattah remains at the forefront of my mind, the Foreign Secretary&#8217;s mind and the minds of the whole Government, we will continue to try to ensure that our relationship with Egypt is positive and productive where those efforts are necessary to protect other British nationals and try to deal with questions of international peace and security."
2024-11-21,10:33:00,Keir Starmer,Labour,Holborn and St Pancras,2024-11-21d.371.1,"Thank you, Mr Speaker, for your earlier words about John Prescott. We woke today to the deeply sad news that we have lost a true giant of the Labour movement and of this House; a man who fought for working-class ambition because he lived it. As one of the key architects of a Labour Government, John achieved that rare thing: he changed people&#8217;s lives and he set the path for us all to follow. I will always be grateful to him for that. He did it all in his own way, with humour, pride, passion and total conviction. He truly was a one-off. There will be a moment for fuller tributes, but today I send my deepest condolences and, I am sure, those of the whole House to John&#8217;s wife Pauline and his family, to the city of Hull, and to all those who knew and loved him. His legacy lives on in all of us.I wish to update the House on my engagements at COP and the G20. We live in a dangerous and volatile world. We all wish that that were not the case, but it is, and it means that global problems are reaching into the lives of our constituents more and more. Climate change causes extreme weather, such as the terrible floods that we saw in September, and drives down economic growth; conflicts drive up the prices of fuel, food and energy and threaten our stability and security; and both are drivers of migration. To serve the British people we must tackle these problems head-on, because they do not stop at our borders&#8212;and that is the fundamental point. At every meeting I had at COP and the G20, and in every agreement I entered into, my focus was on tackling these problems to deliver growth and security for the British people.At COP, I made the case that we must act on climate change and nature loss as some of the greatest long-term threats we face, and in doing so we must seize the opportunities of the low-carbon economy for investment, for UK businesses and for British workers. At COP, I was proud to announce the UK&#8217;s new nationally determined contribution, with a 2035 target to reduce all greenhouse gas emissions by at least 81% on 1990 levels. I called on other countries to match that ambition to limit global temperature rises to 1.5&#176;, and I made the investment case for the transformation that we are leading here in the United Kingdom.By launching GB Energy, creating the national wealth fund to build new energy infrastructure and setting a path to clean power by 2030, we will not just boost our energy security and protect bill payers, but put Britain in pole position to claim the clean energy jobs of the future. That is why at COP, I was able to announce a &#163;1 billion wind turbine investment that will support 1,300 local jobs around Hull&#8212;something of which John would have been very proud&#8212;and produce enough clean energy to power 1 million homes. That is in addition to the recent investment in carbon capture in Teesside and Merseyside, which will create 4,000 jobs, and the investment announced by my right hon. Friend the Chancellor for 11 new green hydrogen projects across Britain.Tackling climate change is, of course, a global effort, so at the G20, together with Brazil and 10 other countries, I launched our global clean power alliance to speed up the international roll-out of clean power, accelerate investment, and cut emissions around the world.We came together at the G20 to meet other challenges as well. I was pleased to join President Lula&#8217;s Global Alliance Against Hunger and Poverty to bring an end to the lost decade in that fight, because this is also an investment in stability and in tackling the factors that force people to leave their homes and make long journeys that too often end with criminal gangs exploiting them and putting their lives at risk in the English channel. We will smash those gangs. I am sure the House will welcome last week&#8217;s news from the Netherlands, where the National Crime Agency, operating with European partners, arrested a man suspected of being a major supplier of small boats equipment. We will hit these organised criminals with the full force of the law, but we will also work with our partners to address the root causes of the problem.The G20 represents 85% of global GDP, so we have a shared interest in driving up growth and investment. I held productive bilateral meetings with many G20 leaders to that end: Brazil, Japan, Italy, South Africa, the Republic of Korea and others. I also met representatives of Italy and Japan to take forward the global combat air programme, which will build the next generation of fighter jets, create high-skilled jobs and strengthen our national security for the long term.I had a good discussion with Prime Minister Modi about deepening our bilateral ties. We agreed to raise the ambition of our UK-India comprehensive strategic partnership, which covers security, defence, technology, climate, health and education, building on the unique bonds and cultural ties between our two countries. Crucially, this work will start with trade and investment, and I am pleased to say that we agreed to relaunch free trade agreement negotiations early in the new year.I also held a bilateral meeting with President Xi. This was the first leader-level meeting between the United Kingdom and China for six years. We had a frank, constructive and pragmatic discussion as G20 economies and permanent members of the UN Security Council. At a time of huge volatility, we both recognise the importance of engagement. I was clear that we will always act in our national interest, but we need to work together on challenges such as climate change and delivering growth. We agreed a new dialogue on these issues, which my right hon. Friend the Chancellor will take forward with Vice Premier He in Beijing. Of course, there will continue to be areas where we do not agree, and we will address them clearly and frankly. They include a number of human rights issues, the sanctioning of Members of this House and, of course, Hong Kong, but here too we need to engage. The lesson of history is that we are better able to deal with problems, and the world is safer, when leaders talk, so we agreed to keep this channel of communication open.Although it was not on the formal agenda of the G20, the spectre of conflict loomed large over the summit. Conflict is spreading misery, destruction and despair, and causing children to starve and families to flee their homes. I called again for the immediate and unconditional release of the hostages in Gaza, who are always uppermost in our minds. I also called for an immediate ceasefire in Gaza and for a massive increase in the flow of aid, which is desperately needed. Yesterday, we backed a UN Security Council resolution to that end. We must find ways to make this international pressure count, to end the suffering on all sides.The G20 coincided with the marking of 1,000 days of conflict in Ukraine. For the third year running, Putin did not attend. Instead, on the eve of the summit, he launched Russia&#8217;s biggest attack for months, killing yet more innocent Ukrainians and hitting civilian energy infrastructure at the start of winter, and he indulged yet again in dangerous, irresponsible rhetoric. This is a member of the UN Security Council acting with contempt for the UN charter. Whereas Brazil made finding solutions to hunger and poverty the focus of its presidency, in recent weeks Russian missiles have continued to rain down on civilian ships carrying grain bound for Africa. It could not be more clear: this is a man who wants destruction, not peace.After 1,000 days of war&#8212;1,000 days of Ukrainian bravery and sacrifice&#8212;I am clear that we must double down on our support. We will not be deterred or distracted by reckless threats. We have consistently said that we will do what it takes to support Ukraine and put it in the best possible position going into the winter. The UK&#8217;s support for Ukraine is always for self-defence, and it is proportionate, co-ordinated and agile. It is a response to Russia&#8217;s own actions, and it is in accordance with international law. Under article 51 of the UN charter, Ukraine has a clear right of self-defence against Russia&#8217;s illegal attacks. I say again that Russia could roll back its forces and end this war tomorrow. Until then, we will stand up for what we know is right, for Ukraine&#8217;s security and for our own security, and we will back Ukraine with what is needed for as long as it is needed.In challenging times, I take the view that British leadership matters more than ever. For the sake of our growth, our security and making our presence felt, giving the British people a voice on the global stage once again and standing up for the national interest, I commend this statement to the House."
2024-09-04,,Keir Starmer,Labour,Holborn and St Pancras,2024-09-04c.303.2,"Let me be very clear, as I have said before and I say again: we recognise and support Israel&#8217;s right of self-defence, and we have taken action in support of that right of self-defence. I have made that repeatedly clear in all my engagements with Israel, across the region and with all our allies; I stand by that.In relation to licences, this is not an Israel issue; it is the framework for all licences that must be kept under review. It is the same test for all licences, as the Prime Minister knows, and we have applied the law to the facts and come to a legal conclusion. I do not think the Prime Minister&#8212;[Interruption.] I do not think the Leader of the Opposition is really inviting me to put that to one side. This is a serious issue; we either comply with international law or we do not. We have strength in our arguments only because we comply with international law. I appreciate that the Conservative party did not think that international law mattered, and that is why we got into the pickle that we did."
2024-02-27,13:17:00,Andrew Mitchell,Conservative,Sutton Coldfield,2024-02-27c.147.1,"May I start by congratulating you, Mr Speaker, on your successful visit early last week to St Helena?With permission, I shall now update the House on the situation in Israel and the Occupied Palestinian Territories. Let me begin by reiterating Israel&#8217;s right to defend itself against Hamas. We condemn the slaughter, abuse and gender-based violence perpetrated on 7 October 2023, Hamas&#8217;s use of civilian areas, their continued failure to release hostages and their ongoing launching of attacks into Israel. Equally, we are deeply concerned about the humanitarian situation in Gaza, with tens of thousands of innocent civilians killed and injured.The most effective way to end the fighting in Gaza&#8212;the absolute focus of our diplomatic efforts right now&#8212;is to agree an immediate humanitarian pause. That would allow for the safe release of hostages and a significant increase in the aid going to Gaza. Crucially, it would also provide a vital opportunity to establish the conditions for a genuinely long-term and sustainable ceasefire without a return to destruction, fighting and loss of life. That is the position shared by our close partners. It is an outcome that we believe is in reach right now and we urge all sides to seize it.Many people may ask, including some in this House, why we are calling for a pause but not an immediate ceasefire. We do not believe that doing so, hoping that it somehow becomes permanent, is the way forward. Simply calling for a ceasefire will not make one happen. There is a different and better way to stop the fighting permanently: to push for a pause and, in it, secure a sustainable ceasefire that can hold for the longer term without a return to the fighting.The British Government have set out the vital elements to achieving a lasting peace: the release of all hostages; the removal of Hamas&#8217;s capacity to launch attacks against Israel; Hamas no longer being in charge of Gaza; the formation of a new Palestinian Government for the west bank and Gaza, accompanied by an international support package; and a political horizon that provides a credible and irreversible pathway towards a two-state solution. Once we secure a pause, we will need to take action on all those elements to create irreversible momentum towards peace.Meanwhile, Britain and our partners continue to do all we can to alleviate the suffering. We trebled our aid commitment this financial year, and we are doing everything we can to get more aid in and open more crossings. Last week, Britian and Jordan airdropped life-saving aid to a hospital in northern Gaza. The airdrop provided 4 tonnes of vial supplies, including medicines, fuel and food for hospital patients and staff. The Tal al-Hawa Hospital, set up by the Jordanian armed forces, is located in Gaza City and has treated thousands of patients since the start of the crisis.Women are bearing the brunt of the desperate humanitarian situation in Gaza today. Many thousands are pregnant and will be worrying about delivering their babies safely. That is why over the weekend we also announced &#163;4.25 million of new funding for the United Nations sexual and reproductive health agency in response  to an appeal for the Occupied Palestinian Territories. That new UK funding will help make giving birth safer and will improve the lives of mothers and their newborn babies.It is clear, however, that the flow of aid needs to be rapidly and significantly scaled up. We have reiterated the need for Israel to open more crossing points into Gaza, for Nitzana and Kerem Shalom to be open for longer, and for Israel to support the UN in distributing aid effectively across the whole of Gaza. The Foreign Secretary&#8217;s representative for humanitarian affairs in the Occupied Palestinian Territories, Mark Bryson-Richardson, is based in the region and is working intensively to address the blockages preventing more aid from reaching Gaza.We also continue to urge Israel to limit its operations to military targets and avoid harming civilians and destroying homes. We have expressed our deep concern about the prospects and consequences of a military incursion into Rafah. More than half of Gaza&#8217;s population are sheltering in the area, including more than 600,000 children, and they have nowhere to go. The Rafah crossing remains vital to ensure aid can reach the people who so desperately need it.The path to a long-term solution will not be easy. Ultimately, a two-state solution is the best way to ensure safety and security for Israelis and Palestinians. The Foreign Secretary underlined that at the G20 Foreign Ministers meeting in Rio last week. The Prime Minister and all ministerial colleagues will continue to press for that in engagements with regional partners, including with Prime Minister Netanyahu.We welcome the prospect of further normalisation agreements between Israel and Arab partners. We are committed to supporting their enduring success and efforts to ensure that normalisation delivers benefits for the Palestinians too. Our long-standing position remains that we will recognise a Palestinian state at the time that is most conducive to the peace process.The Palestinian Authority has an important long-term role to play and will need continued support from us and our partners, but it must also take concrete steps on reform. The Palestinian people need a technocratic and effective Administration that can win the confidence of the people of Gaza. We stand ready to support the Palestinian Authority to achieve that aim, following the announcement yesterday of the resignation of the Prime Minister and the previous set of Ministers. We also remain concerned about the situation in the west bank, and have taken action in response to extremist settler violence.I repeat our commitment to finding a lasting resolution to this conflict that ensures that Israelis and Palestinians can live in the future with dignity and security. The goal of our diplomacy in the middle east is to see an end to the fighting and create a permanent peace based on a new political horizon for the region. We will continue working tirelessly to make that happen."
2024-01-26,13:47:00,Gavin Robinson,DUP,Belfast East,2024-01-26d.568.0,"In the Book of St Matthew 7:16, it says,&#8220;By their fruits you shall know them.&#8221;Across this House, every one of us represents constituents, but some of us represent much more than just our constituents. It is a pleasure to follow the hon. Member for Congleton (Fiona Bruce), who embodies that piece of scripture. In all the years I have been here and in all the engagements we have had, she embodies that so fundamentally. The fact that, in December 2020, she was appointed as the Prime Minister&#8217;s special envoy on freedom of religion or belief was of no surprise to me, knowing her commitment personally and her passion for these issues, but the fact that she brings forward this Bill not about her, but about the continuation of the quest, the campaign or, in this context, the mission field, is very important indeed. I am delighted to rise in support of the Bill and the hon. Lady&#8217;s bringing it forward. She is small and quiet, but she is mighty, and she always has been mighty in her endeavours. She brings an assured and engaging zeal to these issues in the good times and the bad.The hon. Lady rightfully mentioned the watch list launched last week in Parliament. That watch list captivates Members of Parliament each and every year. Some Members of Parliament go because they are concerned;  all Members of Parliament who go leave concerned. Some turn up just because they get scores of cards encouraging them to do so. But if they take the time to go and hear the plight of 371 million Christians throughout the world&#8212;and the issue is not just about Christians&#8212;they leave emboldened to ensure that we do what we can, with our relative luxury, to assist those around the world who do not have such fortunate circumstances.Having a love of Jesus should not impact on people&#8217;s ability to live freely, to work within their community or to talk about their feelings or faith, but that is what happens to many around the world. As I said, it is not just about Jesus; many in this world have a faith that is different from mine, but they suffer similarly. I say similarly because the same thing always occurs to me when I get the chance to attend the Open Doors events, which leave me annoyed but determined. I always think about how many people living among us in this country over-use and abuse the word &#8220;persecution&#8221; and never reflect on what is going on around the world. They have not a clue or an understanding about the key issues&#8212;and neither do I, but I open my heart and my ears to see them and hear them. I genuinely think those are important annual events that give us the opportunity not only to engage with like-minded people but to leave with a sense that, in whatever field we work or in whatever faith field we live, we have a contribution to make in this space.The fact that the Prime Minister was able to lift the recommendation from the Bishop of Truro and appoint a special envoy is great. It has been impacted by a worldwide pandemic and probably has not achieved all that we wished to achieve, but the Prime Minister&#8217;s current incumbent, the hon. Member for Congleton, trusts that the role can be put to good purpose for many years to come. There is a valid, valiant and purposeful role for the Prime Minister&#8217;s special envoy for our nation to speak on these issues. Internationally, we are credited for our role, as she mentioned.My hon. Friend the Member for Strangford (Jim Shannon), who has chaired the APPG for many years and who raises issues from around the world every Thursday in questions to the Leader of the House, recognises the importance of these issues and of our continually encouraging the Government to speak and act powerfully in this space. It is no surprise that that interest leads to our aid contributions and humanitarianism across the world being as powerful as they are.We cannot overstate the issue, and neither should we underplay the importance of seeking to lift the proposal to place the role of a special envoy on a statutory footing. It has my full support, and I commend the hon. Member for Congleton for the steps that she takes in her role and for the Bill that she puts before us today."
2023-07-12,,Angela Rayner,Labour,Ashton-under-Lyne,2023-07-12c.343.8,"I know you are a keen historian, Mr Speaker, so I looked up the last time a Prime Minister missed two sessions in a row for other engagements. It was March 1996. I am very proud to be filling the boots of Lord John Prescott, but I think it is safe to say that the Deputy Prime Minister is no Heseltine. John Prescott asked, why is it that in Tory Britain, tens of thousands of families are facing repossession, negative equity and homelessness? Can the Deputy Prime Minister tell us, 27 years later, why I am having to ask the same question?"
2023-05-25,11:17:00,Penny Mordaunt,Conservative,Portsmouth North,2023-05-25b.449.1,"I thank my right hon. Friend for raising that matter. I think all Members of this House will want to continue to show our resolve in supporting the people of Ukraine. There are clearly big decisions being taken at the moment in various international forums, including at NATO. I know many Members of this House have engagements with those international forums and would want to express the contribution they are making on the Floor of this House. I will certainly raise the request with my right hon. Friend the Prime Minister."
2023-04-20,14:56:00,Naseem Shah,Labour,Bradford West,2023-04-20c.442.0,"Before I get into my substantive speech, I would like to put on record that my hon. Friends the Members for Sunderland Central (Julie Elliott) and for Blackburn (Kate Hollern) both wanted to be here. In particular, my hon. Friend the Member for Blackburn wanted to raise the issue of her constituent Mr Ismail Adam, who on 5 April witnessed his son&#8212;they are British nationals&#8212;being beaten when visiting al-Aqsa, and she would have wanted the Minister to comment on that. Both are unable to be here because of constituency engagements.I am grateful to the hon. Member for Dundee West (Chris Law) for securing today&#8217;s debate and the Backbench Business Committee for granting it. The motion is simple&#8212;human rights protections for the Palestinians. Therefore, the logical and very simple question that must be addressed, and it is glaringly obvious, is: why are the Palestinians&#8217; human rights not being protected? When it comes to protecting the human rights of the Palestinians, not only do our Government maintain a position that is morally indefensible, but they fail in their responsibility to protect the Palestinians from the most egregious violations of international law.It is an indisputable fact for any rational person that Palestinian human rights are being violated. The massive amount of evidence that has been lodged at the International Criminal Court provides forensic detail of the thousands of criminal acts perpetrated by Israel. The evidence of Israel&#8217;s human rights violations is not in doubt. What is in doubt is the international community&#8217;s will to do something about it. To put it simply, because of the United Kingdom Government&#8217;s position, they have failed in their responsibility to uphold even the most basic international principles of human rights norms and laws.What do I mean when I say basic human rights? I mean the right to be born free and equal in dignity and rights; the right to freedoms without any distinction of any kind; the right to life, liberty and security; the right to privacy, family and a home; the right to freedom of movement; the right to freedoms without any discrimination; the right not to be persecuted; the right to nationality; the rights to freedom of opinion and expression; the right to leave any country, including your own, and return to your home; the right to recognition; the right to protection; and the right to justice. That list is not exhaustive, but these are the international human rights that we in this country epitomise as British values.No one in this Chamber can honestly say that any of those human rights are afforded in full to the Palestinian people, so these are questions for us all: what would we do if we were forced, for hours each day, to go through a military checkpoint because of our race, just to get to work? What would we do if we woke up one day and JCB bulldozers was demolishing our homes or our school? What would we do if we were parents whose child needed urgent cancer treatment, but we, as well as our child, were denied a permit to access the only hospital where the care we needed was available? What would we do if we were worshipping in church on Christmas Day, and we were tied up, beaten and arrested on Christmas morning? What would we do if F-16 fighter jets blew up the BBC or ITV buildings in central London? What would we do if we were forced to live in the world&#8217;s largest open-air prison?What would we do if our home had been set alight by settlers, and our child had two options: either die of suffocation, or go outside and be pelted by rocks thrown by settlers? What would we do if NHS ambulances rushing to save lives were routinely stopped at checkpoints, or if NHS doctors rushing to care were shot at? What would we do if we were subjected to mass collective punishment? Those might be hypotheticals for us, but they are not hypotheticals for the people of Palestine living under occupation. That is their daily existence, that is their lived experience, and that is the reality they cannot escape from.The people of Great Britain would never accept such treatment for any of us, so why do we find it acceptable when it comes to the people of Palestine? If we would not accept it, what do we do to stop this from happening to the Palestinians? It is 75 years since the Nakba, and no one is able to return home; 50 years of growing Israeli occupation, which seemingly no one can stop; 16 years of a blockade of Gaza that has not been lifted, despite the severe humanitarian crisis it has caused for 2 million people. Now it is Ramadan. After Ramadan, the storming of al-Aqsa, the third holiest site for Muslims, has become a routine practice for the Israeli military. For Palestinians, such anniversaries highlight decades of violations that have been continuing against them, unaddressed. For us, they have been a stain on our conscience, and that of the world, for more than 75 years.Let me explain what we should be doing. We should show a real commitment to universal rights and British values. We should show leadership in demanding equality, justice and fairness, as currently we clearly do not. We should support Palestinians by holding their violators accountable for their crimes. Britain, which prides itself on the rule of law, should set the highest standard for Israel to follow, and insist on that in its dealings with us. To do otherwise means that we are continuing to fail not only the Palestinians, but the people of Israel too. In our country, we hold our politicians to account, and even when the Prime Minister broke lockdown rules or did not wear a seat belt, our laws are applied equally. We should afford Palestinians the right to self-determination, and recognise the state of Palestine. We should immediately support the jurisdiction of the International Criminal Court over the situation in the region, instead of maintaining the current obstruction for justice to be done.However, I am under no illusion. I could expect justice only if I had the recognition, let alone the power to advocate for my needs. Again, returning to a point that is glaringly obvious, this is not a clash of two equals. This is not a clash of religions, and neither is it a clash of peoples. This is an illegal military occupation. This is a conflict in which a protected oppressor is persecuting the unprotected Palestinian people. This is about Israel acting with impunity. Israel has been gifted impunity, which means it has zero incentive to deal with the Palestinians fairly. Indeed, we incentivise it to continue to break international law, because the world fails to hold it to account. That makes us complicit in the persecution faced by the Palestinians.Our Government have failed to support any mechanisms of accountability, whether by opposing an investigation by the International Criminal Court, abstaining on crucial votes, or voting against resolutions condemning illegal settlements and the right to self-determination. Instead, they continue to ignore Israel&#8217;s crimes. If we truly believe in a two-state solution, it is time to act  before it is too late. Only a few weeks ago, Finance Minister Bezalel Smotrich, the Israeli Minister for responsibility for administering the occupied west bank, said that there was no Palestinian history or culture, and no such thing as the Palestinian people. That Israeli Minister also spoke at a podium covered in what appeared to be a variation of a map of Israel, which showed an Israeli state with expanded boundaries that included the west bank, east Jerusalem, Gaza and Jordan. Here we are talking about a two-state solution, the only fit and proper resolution to this crisis, yet the actions of Israel show a complete contradiction to that aim.That leads me to my concluding remarks, and to three clear asks of the Government. First, any relationship with Israel, or any other country for that matter, should be based on a demonstration of an acceptance of our values, which we hold dear. In the recent Netanyahu visit, did the UK ensure that our trading partner would comply with international law, or did we further signal to it that it could continue to act with impunity at our behest for our financial gain over the duty to protect human rights? Secondly, the UK should immediately enable international systems of accountability for criminal law violations in the region and must immediately support the International Criminal Court&#8217;s investigation. Thirdly, the UK must recognise the Palestinians&#8217; right to self-determination, which means the immediate recognition of the state of Palestine.Britain has a moral duty to act on Palestine and not just present empty words. I assure the Minister that this is an issue at the ballot box, so soon empty words will lead to empty Tory seats in elections. I urge the Government to do the moral thing and act on human rights for the Palestinians. It is the right thing to do."
